store_name,address,newAddress
차병원점,서울시 강남구 논현로 566 강남차병원1층  ,서울특별시 강남구 논현로 566 강남차병원1층
강남대로점,서울시 서초구 강남대로 369 1층  ,서울특별시 서초구 강남대로 369 1층
청담에스점,"서울시 강남구 압구정로 461 네이처포엠빌딩B108,109호  ","서울특별시 강남구 압구정로 461 네이처포엠빌딩B108,109호"
신사점,서울시 강남구 도산대로 126  ,서울특별시 강남구 도산대로 126
역삼점,"서울시 강남구 논현로 512  지상1,2층  ","서울특별시 강남구 논현로 512 지상1,2층"
양재스포타임점,서울시 서초구 강남대로 213 24호 지하1층  ,서울특별시 서초구 강남대로 213 24호 지하1층
청담성당점,서울시 강남구 삼성로 716 LEE76빌딩2층  ,서울특별시 강남구 삼성로 716 LEE76빌딩2층
영동점,서울 서초구 반포동 736-17 P빌딩 2층  ,서울특별시 서초구 반포동 736-17 P빌딩 2층
도곡점,"서울시 강남구 언주로 30길 10,112 현대비젼21 112호  ","서울특별시 강남구 언주로 30길 10,112 현대비젼21 112호"
영동고앞점,"서울시 강남구 선릉로 749 1,2층  ","서울특별시 강남구 선릉로 749 1,2층"
압구정시티점,"서울시 강남구 도산대로49길 13 1층 17,18호  ","서울특별시 강남구 도산대로49길 13 1층 17,18호"
서초우성점,서울시 서초구 강남대로 51길 1 511 TOWER  1층  ,서울특별시 서초구 강남대로 51길 1 511 TOWER 1층
논현팍스타워점,서울시 강남구 논현 231-13호 팍스타워지하1층  ,서울특별시 강남구 논현 231-13호 팍스타워지하1층
삼성오크우드점,서울 강남구 테헤란로87길 46 지하 2층  ,서울특별시 강남구 테헤란로87길 46 지하 2층
트레이드타워점,서울시 강남구 영동대로 511 트레이드타워 지하1층  ,서울특별시 강남구 영동대로 511 트레이드타워 지하1층
삼성봉은사거리점,"서울시 강남구 영동대로 607 1,2층  ","서울특별시 강남구 영동대로 607 1,2층"
잠실신천점,서울시 송파구 석촌호수로 118 1층  ,서울특별시 송파구 석촌호수로 118 1층
서초지파이브점,"서울시 서초구 서초동 1685-8호 101~2호,113~4호,121호  ","서울특별시 서초구 서초동 1685-8호 101~2호,113~4호,121호"
논현동수면센터점,서울시 강남구 논현로 717 1층  ,서울특별시 강남구 논현로 717 1층
삼성전자강남사옥점,서울시 서초구 서초대로74길 11 지하2층  ,서울특별시 서초구 서초대로74길 11 지하2층
삼성생명강남사옥점,서울시 서초구 서초대로74길 4 삼성생명보험서초타워내지하1층  ,서울특별시 서초구 서초대로74길 4 삼성생명보험서초타워내지하1층
방배카페골목점,서울특별시 서초구 방배중앙로 187  ,서울특별시 서초구 방배중앙로 187
역삼포스틸타워뒷점,서울시 강남구 테헤란로 20길 10 쓰리엠타워1층  ,서울특별시 강남구 테헤란로 20길 10 쓰리엠타워1층
테헤란로하이닉스뒷점,서울시 강남구 테헤란로 70길 12 1층  ,서울특별시 강남구 테헤란로 70길 12 1층
삼성봉은사로점,서울시 강남구 봉은사로 628 엘슨빌딩1층  ,서울특별시 강남구 봉은사로 628 엘슨빌딩1층
방이점,서울시 송파구 오금로 11길 7  ,서울특별시 송파구 오금로 11길 7
매봉역점,서울시 강남구 논현로 38길 42 418호  ,서울특별시 강남구 논현로 38길 42 418호
남부터미널역점,서울시 서초구 서초중앙로 43 로얄타워1층  ,서울특별시 서초구 서초중앙로 43 로얄타워1층
강남역랭기지타워점,서울시 강남구 테헤란로4길 28 826-28호 1층  ,서울특별시 강남구 테헤란로4길 28 826-28호 1층
