시도군구,시도,군구,count,인구수,ratio
경기도 가평군,경기도,가평군,1,62281,1.6056261139031165
경기도 고양시,경기도,고양시,4,1071272,0.3733878977514581
경기도 남양주시,경기도,남양주시,5,733209,0.6819338005943735
경기도 동두천시,경기도,동두천시,1,87725,1.139925904816187
경기도 부천시,경기도,부천시,1,775488,0.1289510604935215
경기도 성남시,경기도,성남시,2,918706,0.21769750061499543
경기도 수원시,경기도,수원시,1,1196987,0.08354309612385097
경기도 시흥시,경기도,시흥시,1,519060,0.1926559549955689
경기도 안산시,경기도,안산시,2,626166,0.3194041196743355
경기도 안성시,경기도,안성시,1,190853,0.5239634692669227
경기도 양주시,경기도,양주시,1,276970,0.3610499332057624
경기도 양평군,경기도,양평군,1,125981,0.7937704892007524
경기도 여주시,경기도,여주시,1,114372,0.8743398733955863
경기도 용인시,경기도,용인시,4,1079326,0.3706016532539752
경기도 의정부시,경기도,의정부시,1,462010,0.21644553148200255
경기도 이천시,경기도,이천시,1,221493,0.4514815366625582
경기도 파주시,경기도,파주시,1,504999,0.19802019409939428
경기도 평택시,경기도,평택시,1,593276,0.1685556132390321
경기도 포천시,경기도,포천시,2,142545,1.4030656985513346
경기도 화성시,경기도,화성시,1,951179,0.10513268270220431
경상남도 거창군,경상남도,거창군,2,59971,3.3349452235247035
경상남도 김해시,경상남도,김해시,1,532510,0.18778990065914256
경상남도 남해군,경상남도,남해군,1,40391,2.4757990641479535
경상남도 사천시,경상남도,사천시,2,108979,1.8352159590379797
경상남도 양산시,경상남도,양산시,4,355560,1.124985937675779
경상남도 의령군,경상남도,의령군,1,25354,3.9441508243275223
경상남도 진주시,경상남도,진주시,1,339883,0.29421889297199333
경상남도 창녕군,경상남도,창녕군,1,56722,1.7629843799583937
경상남도 창원시,경상남도,창원시,5,1004693,0.4976644606860006
경상남도 통영시,경상남도,통영시,2,119591,1.6723666496642722
경상북도 경산시,경상북도,경산시,2,266169,0.7514023045508681
경상북도 경주시,경상북도,경주시,1,246081,0.4063702601988776
경상북도 고령군,경상북도,고령군,1,30190,3.3123550844650547
경상북도 구미시,경상북도,구미시,1,404966,0.24693431053471157
경상북도 김천시,경상북도,김천시,2,136658,1.4635074419353422
경상북도 문경시,경상북도,문경시,1,68205,1.4661681694890405
경상북도 봉화군,경상북도,봉화군,1,29393,3.402170584833123
경상북도 상주시,경상북도,상주시,2,93212,2.145646483285414
경상북도 안동시,경상북도,안동시,2,152981,1.3073518933723796
경상북도 영주시,경상북도,영주시,1,99960,1.0004001600640255
경상북도 울릉군,경상북도,울릉군,1,9095,10.995052226498077
