행정구역(시군구)별(1),행정구역(시군구)별(2),총인구수 (명),남자인구수 (명),여자인구수 (명)
전국,소계,51285153,25541855,25743298
서울특별시,소계,9378269,4532115,4846154
서울특별시,종로구,139432,67138,72294
서울특별시,중구,121607,58737,62870
서울특별시,용산구,207969,99566,108403
서울특별시,성동구,276847,134161,142686
서울특별시,광진구,334790,160670,174120
서울특별시,동대문구,341981,167523,174458
서울특별시,중랑구,381668,186915,194753
서울특별시,성북구,424663,203536,221127
서울특별시,강북구,285880,138198,147682
서울특별시,도봉구,306057,148216,157841
서울특별시,노원구,496406,238110,258296
서울특별시,은평구,465660,220905,244755
서울특별시,서대문구,306001,145109,160892
서울특별시,마포구,363449,169555,193894
서울특별시,양천구,433975,211634,222341
서울특별시,강서구,560679,268551,292128
서울특별시,구로구,390952,191538,199414
서울특별시,금천구,226955,114184,112771
서울특별시,영등포구,375090,183600,191490
서울특별시,동작구,378871,183129,195742
서울특별시,관악구,481722,242633,239089
서울특별시,서초구,407596,193966,213630
서울특별시,강남구,554651,265347,289304
서울특별시,송파구,653447,313669,339778
서울특별시,강동구,461921,225525,236396
부산광역시,소계,3284947,1600234,1684713
부산광역시,중구,38385,18631,19754
부산광역시,서구,103289,49662,53627
부산광역시,동구,87170,42353,44817
부산광역시,영도구,105864,51961,53903
부산광역시,부산진구,361320,173271,188049
부산광역시,동래구,268872,129694,139178
부산광역시,남구,255629,124468,131161
부산광역시,북구,271525,133421,138104
부산광역시,해운대구,377664,180958,196706
부산광역시,사하구,295217,146475,148742
부산광역시,금정구,213602,104122,109480
부산광역시,강서구,142103,73705,68398
부산광역시,연제구,211851,101178,110673
부산광역시,수영구,173501,81316,92185
부산광역시,사상구,201614,101122,100492
부산광역시,기장군,177341,87897,89444
대구광역시,소계,2368670,1163001,1205669
대구광역시,중구,90953,43522,47431
대구광역시,동구,342302,167637,174665
대구광역시,서구,164069,81387,82682
대구광역시,남구,137566,65656,71910
대구광역시,북구,416439,206452,209987
대구광역시,수성구,408899,196908,211991
대구광역시,달서구,525496,257701,267795
대구광역시,달성군,260152,131977,128175
대구광역시,군위군,22794,11761,11033
인천광역시,소계,3008484,1504078,1504406
인천광역시,중구,162789,84177,78612
인천광역시,중구영종출장소,0,0,0
인천광역시,중구용유출장소,0,0,0
인천광역시,동구,58931,29501,29430
인천광역시,미추홀구,408275,205475,202800
인천광역시,연수구,394421,195602,198819
인천광역시,남동구,489479,243005,246474
인천광역시,부평구,494750,243479,251271
인천광역시,계양구,280794,139726,141068
인천광역시,서구,629925,317121,312804
인천광역시,서구검단출장소,0,0,0
인천광역시,강화군,68918,34487,34431
인천광역시,옹진군,20202,11505,8697
광주광역시,소계,1414862,698628,716234
광주광역시,동구,106690,52561,54129
광주광역시,서구,282274,138013,144261
광주광역시,남구,208632,99789,108843
광주광역시,북구,422779,209100,213679
광주광역시,광산구,394487,199165,195322
대전광역시,소계,1441272,718797,722475
대전광역시,동구,216533,109021,107512
대전광역시,중구,223581,109716,113865
대전광역시,서구,463328,227316,236012
대전광역시,유성구,367634,186255,181379
대전광역시,대덕구,170196,86489,83707
울산광역시,소계,1101059,566255,534804
울산광역시,중구,208000,105265,102735
울산광역시,남구,305346,155935,149411
울산광역시,동구,151663,79167,72496
울산광역시,북구,216895,112399,104496
울산광역시,울주군,219155,113489,105666
세종특별자치시,소계,387726,193099,194627
세종특별자치시,세종시,387726,193099,194627
경기도,소계,13648156,6863252,6784904
경기도,수원시,1196987,602056,594931
경기도,장안구,273317,137230,136087
경기도,권선구,365287,184551,180736
경기도,팔달구,195864,98608,97256
경기도,영통구,362519,181667,180852
경기도,성남시,918706,454656,464050
경기도,수정구,237536,120260,117276
경기도,중원구,209574,105822,103752
경기도,분당구,471596,228574,243022
경기도,의정부시,462010,227022,234988
경기도,안양시,546182,269591,276591
경기도,만안구,229237,114379,114858
경기도,동안구,316945,155212,161733
경기도,부천시,775488,383075,392413
경기도,원미구,392412,192843,199569
경기도,소사구,229083,112465,116618
경기도,오정구,153993,77767,76226
경기도,광명시,278983,136804,142179
경기도,평택시,593276,311687,281589
경기도,송탄출장소,0,0,0
경기도,안중출장소,0,0,0
경기도,동두천시,87725,43733,43992
경기도,안산시,626166,320787,305379
경기도,상록구,331470,169077,162393
경기도,단원구,294696,151710,142986
경기도,고양시,1071272,522367,548905
경기도,덕양구,493517,242523,250994
경기도,일산동구,292754,141955,150799
경기도,일산서구,285001,137889,147112
경기도,과천시,83358,40763,42595
경기도,구리시,186148,92050,94098
경기도,남양주시,733209,363407,369802
경기도,풍양출장소,0,0,0
경기도,오산시,234591,122349,112242
경기도,시흥시,519060,270813,248247
경기도,군포시,259595,128788,130807
경기도,의왕시,156482,77546,78936
경기도,하남시,329456,163932,165524
경기도,용인시,1079326,535308,544018
경기도,처인구,265475,136386,129089
경기도,기흥구,437123,215496,221627
경기도,수지구,376728,183426,193302
경기도,파주시,504999,255652,249347
경기도,이천시,221493,115425,106068
경기도,안성시,190853,98717,92136
경기도,김포시,485494,242419,243075
경기도,화성시,951179,493982,457197
경기도,화성시동부출장소,0,0,0
경기도,화성시동탄출장소,0,0,0
경기도,광주시,392858,200312,192546
경기도,양주시,276970,139607,137363
경기도,포천시,142545,75459,67086
경기도,여주시,114372,58169,56203
경기도,연천군,41111,21556,19555
경기도,가평군,62281,32056,30225
경기도,양평군,125981,63164,62817
강원특별자치도,소계,1523661,766338,757323
강원특별자치도,춘천시,286695,141529,145166
강원특별자치도,원주시,361223,179013,182210
강원특별자치도,강릉시,208627,103389,105238
강원특별자치도,동해시,88094,44700,43394
강원특별자치도,태백시,38272,19340,18932
강원특별자치도,속초시,81615,40346,41269
강원특별자치도,삼척시,62501,31821,30680
강원특별자치도,홍천군,67206,34625,32581
