,store,address,phone
0,차병원점,서울시 강남구 논현로 566 강남차병원1층  ,02-538-7615
1,강남대로점,서울시 서초구 강남대로 369 1층  ,02-588-5778
2,청담에스점,"서울시 강남구 압구정로 461 네이처포엠빌딩B108,109호  ",02-548-6052
3,신사점,서울시 강남구 도산대로 126  ,02-548-2741
4,역삼점,"서울시 강남구 논현로 512  지상1,2층  ",02-569-8051
5,양재스포타임점,서울시 서초구 강남대로 213 24호 지하1층  ,02-578-6833
6,청담성당점,서울시 강남구 삼성로 716 LEE76빌딩2층  ,02-542-2053
7,영동점,서울 서초구 반포동 736-17 P빌딩 2층  ,02-3443-2096
8,영동고앞점,"서울시 강남구 선릉로 749 1,2층  ",02-544-3794
9,압구정시티점,"서울시 강남구 도산대로49길 13 1층 17,18호  ",02-543-5922
10,서초우성점,서울시 서초구 강남대로 51길 1 511 TOWER  1층  ,02-582-0158
11,논현팍스타워점,서울시 강남구 논현 231-13호 팍스타워지하1층  ,02-513-3870
12,삼성오크우드점,서울 강남구 테헤란로87길 46 지하 2층  ,02-3466-8507
13,트레이드타워점,서울시 강남구 영동대로 511 트레이드타워 지하1층  ,02-803-9994
14,삼성봉은사거리점,"서울시 강남구 영동대로 607 1,2층  ",02-3443-5618
15,잠실신천점,서울시 송파구 석촌호수로 118 1층  ,02-416-9520
16,서초지파이브점,"서울시 서초구 서초동 1685-8호 101~2호,113~4호,121호  ",02-3477-5580
17,논현동수면센터점,서울시 강남구 논현로 717 1층  ,02-3443-5575
18,삼성전자강남사옥점,서울시 서초구 서초대로74길 11 지하2층  ,02-2055-1142
19,삼성생명강남사옥점,서울시 서초구 서초대로74길 4 삼성생명보험서초타워내지하1층  ,02-581-5562
20,방배카페골목점,서울특별시 서초구 방배중앙로 187  ,02-592-7794
21,역삼포스틸타워뒷점,서울시 강남구 테헤란로 20길 10 쓰리엠타워1층  ,02-554-9962
22,삼성봉은사로점,서울시 강남구 봉은사로 628 엘슨빌딩1층  ,02-538-4523
